video_id,channel_id,channel_name,tier,title,published_at,duration_sec,view_count,like_count,comment_count,comments_disabled,engagement_rate,duration_min,duration_bucket,publish_year,publish_month,days_since_publish,views_per_day
xxqcPMR0OhM,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Gathering of Needs| Critical Role Abridged | Campaign 3, Episode 95",2026-03-31 15:01:21+00:00,4295,5981,203,12,False,0.035947166025748205,71.6,60_to_120,2026,2026-03,5,1196.2
X65FEyVSZXc,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"The Vanishing | Critical Role | Campaign 4, Episode 20",2026-03-30 19:00:31+00:00,13872,261504,7769,817,False,0.032833149779735685,231.2,180_plus,2026,2026-03,6,43584.0
UeXB0vSGXBU,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,Weird Kids: Shop-A-Ganza sponsored by eBay Live,2026-03-28 01:13:22+00:00,4891,22128,712,13,False,0.03276391901663051,81.5,60_to_120,2026,2026-03,9,2458.67
lBlM7ualcN8,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Where the Red Fearne Glows | Critical Role Abridged | Campaign 3, Episode 94",2026-03-24 15:01:21+00:00,4065,7306,224,9,False,0.03189159594853545,67.8,60_to_120,2026,2026-03,12,608.83
2a2bxnSgoY8,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Hand & Wheel | Critical Role | Campaign 4, Episode 19",2026-03-23 19:00:03+00:00,14086,433339,11152,1261,False,0.028645010026791956,234.8,180_plus,2026,2026-03,13,33333.77
VKvpsBlPE_Q,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"The Seekers' Table | Previously On... | Campaign 4, Ep 12-18 Recap",2026-03-18 19:00:35+00:00,591,41613,2417,108,False,0.06067815346165862,9.8,under_60,2026,2026-03,18,2311.83
MSu8-tdqj34,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,Tale Gate | Episode 2 | Discussing Up To C4E18,2026-03-18 03:05:50+00:00,4141,120145,5328,306,False,0.04689333721752882,69.0,60_to_120,2026,2026-03,18,6674.72
owlBcksFxgA,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Bittersweet Reunions | Critical Role Abridged | Campaign 3, Episode 93",2026-03-17 15:01:31+00:00,4527,10025,230,9,False,0.023840399002493767,75.4,60_to_120,2026,2026-03,19,527.63
QHoEEo8Cqwo,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Draw Your Weapons, Episode 1 | Kobolds and Congratulations",2026-03-13 02:00:06+00:00,3817,36408,1280,170,False,0.03982641177763129,63.6,60_to_120,2026,2026-03,24,1517.0
gdMGqRlFLX4,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Broken Roads | Critical Role Abridged | Campaign 3, Episode 92",2026-03-10 15:01:10+00:00,4565,9946,275,17,False,0.029358536094912527,76.1,60_to_120,2026,2026-03,26,382.54
q-zflBMhaag,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Vindicta & Vale | Critical Role | Campaign 4, Episode 18",2026-03-09 19:00:58+00:00,14414,500382,12060,2593,False,0.029283627308736127,240.2,180_plus,2026,2026-03,27,18532.67
5NBik7f8ASI,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"True Heroism | Critical Role Abridged | Campaign 3, Episode 91",2026-03-03 16:00:08+00:00,4860,11098,339,41,False,0.03424040367633808,81.0,60_to_120,2026,2026-03,33,336.3
GWNArAM0pM4,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"The Place of Wings | Critical Role | Campaign 4, Episode 17",2026-03-02 20:00:13+00:00,13575,550236,12560,1192,False,0.024992912132248708,226.2,180_plus,2026,2026-03,34,16183.41
Jq1fvgldtsg,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,Leveling Up The Seekers Table | Lvl 3 to Lvl 4,2026-02-25 20:00:14+00:00,927,196988,11209,440,False,0.05913558186285459,15.4,under_60,2026,2026-02,39,5050.97
Q2YUVClpCYA,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Mission Improbable | Critical Role Abridged | Campaign 3, Episode 90",2026-02-24 16:00:42+00:00,4386,9348,267,9,False,0.029525032092426188,73.1,60_to_120,2026,2026-02,40,233.7
b7EFf-QrWbM,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Visions of Shadow & Stone | Critical Role | Campaign 4, Episode 16",2026-02-23 20:00:33+00:00,14112,630348,14199,1375,False,0.02470698725148648,235.2,180_plus,2026,2026-02,41,15374.34
F7bt1FzGxS0,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,Kingdom Come: Deliverance II One-Shot,2026-02-19 20:00:08+00:00,14063,116426,4259,386,False,0.039896586673079895,234.4,180_plus,2026,2026-02,45,2587.24
6HmtMRETRLM,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Divisive Portents | Critical Role Abridged | Campaign 3, Episode 89",2026-02-17 16:00:11+00:00,4223,9515,265,6,False,0.028481345244351024,70.4,60_to_120,2026,2026-02,47,202.45
qPLCCtUGyoY,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Flight to Castle Torch | Critical Role | Campaign 4, Episode 15",2026-02-16 20:00:42+00:00,13530,667500,15099,1398,False,0.024714606741573032,225.5,180_plus,2026,2026-02,48,13906.25
1r1Vtt0tWWM,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Seeking Sedition | Critical Role Abridged | Campaign 3, Episode 88",2026-02-10 16:00:04+00:00,4204,10585,279,7,False,0.02701936702881436,70.1,60_to_120,2026,2026-02,54,196.02
TRDzQIenIPQ,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"A Bridge Too Far | Critical Role | Campaign 4, Episode 14",2026-02-09 20:00:20+00:00,13336,672689,16236,1514,False,0.02638663632079609,222.3,180_plus,2026,2026-02,55,12230.71
jk2m-3rpj54,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Arrival at Kreviris | Critical Role Abridged | Campaign 3, Episode 87",2026-02-03 16:00:59+00:00,4494,11326,270,18,False,0.025428218258873387,74.9,60_to_120,2026,2026-02,61,185.67
RWh4BFyW15M,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Seeking Sanctuary | Critical Role | Campaign 4, Episode 13",2026-02-02 20:00:15+00:00,13090,760141,17297,1326,False,0.02449940208461325,218.2,180_plus,2026,2026-02,62,12260.34
LDvpppNISws,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Doorways to Darker Depths | Critical Role Abridged | Campaign 3, Episode 86",2026-01-27 16:00:27+00:00,4496,11891,280,12,False,0.024556387183584223,74.9,60_to_120,2026,2026-01,68,174.87
WRtb_XzfNTA,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"The Giant's Belt | Critical Role | Campaign 4, Episode 12",2026-01-26 20:00:23+00:00,12990,892349,19154,1676,False,0.0233428849026558,216.5,180_plus,2026,2026-01,69,12932.59
-ewgMIEA3ag,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"The Soldier's Table | Previously On... | Campaign 4, Ep 5-11 Recap",2026-01-21 20:00:00+00:00,586,73974,4358,163,False,0.06111606780760808,9.8,under_60,2026,2026-01,74,999.65
lxCQ9n5Q8vY,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,Tale Gate | Episode 1 | Discussing Up To C4E11,2026-01-21 04:07:06+00:00,4496,290580,12546,515,False,0.04494803496455365,74.9,60_to_120,2026,2026-01,74,3926.76
-NCqEHEXgwU,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Intense Interrogations | Critical Role Abridged | Campaign 3, Episode 85",2026-01-20 16:00:00+00:00,4305,9720,260,6,False,0.027366255144032924,71.8,60_to_120,2026,2026-01,75,129.6
Ta2rfRcooZE,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Make Merry | Critical Role | Campaign 4, Episode 11",2026-01-19 20:00:23+00:00,13225,987704,22245,1475,False,0.02401529203081085,220.4,180_plus,2026,2026-01,76,12996.11
Mw9DaiPDGCs,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Red Rural Revelations | Critical Role Abridged | Campaign 3, Episode 84",2026-01-13 16:00:41+00:00,4133,15308,358,16,False,0.024431669715181605,68.9,60_to_120,2026,2026-01,82,186.68
eZNIweY0jOM,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Ruidus | Critical Role Abridged | Campaign 3, Episode 83",2026-01-06 16:01:08+00:00,4359,22689,435,19,False,0.02000969632861739,72.6,60_to_120,2026,2026-01,89,254.93
ohxUh7n7kJw,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Blood for Blood | Critical Role | Campaign 4, Episode 10",2025-12-22 20:00:49+00:00,12741,948521,22795,1746,False,0.025872911617138682,212.4,180_plus,2025,2025-12,104,9120.39
