video_id,channel_id,channel_name,tier,title,published_at,duration_sec,view_count,like_count,comment_count,comments_disabled,engagement_rate,duration_min,duration_bucket,publish_year,publish_month,days_since_publish,views_per_day,subscriber_count,total_view_count,channel_created_at
xxqcPMR0OhM,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Gathering of Needs| Critical Role Abridged | Campaign 3, Episode 95",2026-03-31 15:01:21+00:00,4295,5981,203,12,False,0.0359471660257482,71.6,60_to_120,2026,2026-03,5,1196.2,2810000,1302841102,2018-05-23 17:03:19+00:00
X65FEyVSZXc,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"The Vanishing | Critical Role | Campaign 4, Episode 20",2026-03-30 19:00:31+00:00,13872,261504,7769,817,False,0.0328331497797356,231.2,180_plus,2026,2026-03,6,43584.0,2810000,1302841102,2018-05-23 17:03:19+00:00
UeXB0vSGXBU,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,Weird Kids: Shop-A-Ganza sponsored by eBay Live,2026-03-28 01:13:22+00:00,4891,22128,712,13,False,0.0327639190166305,81.5,60_to_120,2026,2026-03,9,2458.67,2810000,1302841102,2018-05-23 17:03:19+00:00
lBlM7ualcN8,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Where the Red Fearne Glows | Critical Role Abridged | Campaign 3, Episode 94",2026-03-24 15:01:21+00:00,4065,7306,224,9,False,0.0318915959485354,67.8,60_to_120,2026,2026-03,12,608.83,2810000,1302841102,2018-05-23 17:03:19+00:00
2a2bxnSgoY8,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Hand & Wheel | Critical Role | Campaign 4, Episode 19",2026-03-23 19:00:03+00:00,14086,433339,11152,1261,False,0.0286450100267919,234.8,180_plus,2026,2026-03,13,33333.77,2810000,1302841102,2018-05-23 17:03:19+00:00
VKvpsBlPE_Q,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"The Seekers' Table | Previously On... | Campaign 4, Ep 12-18 Recap",2026-03-18 19:00:35+00:00,591,41613,2417,108,False,0.0606781534616586,9.8,under_60,2026,2026-03,18,2311.83,2810000,1302841102,2018-05-23 17:03:19+00:00
MSu8-tdqj34,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,Tale Gate | Episode 2 | Discussing Up To C4E18,2026-03-18 03:05:50+00:00,4141,120145,5328,306,False,0.0468933372175288,69.0,60_to_120,2026,2026-03,18,6674.72,2810000,1302841102,2018-05-23 17:03:19+00:00
owlBcksFxgA,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Bittersweet Reunions | Critical Role Abridged | Campaign 3, Episode 93",2026-03-17 15:01:31+00:00,4527,10025,230,9,False,0.0238403990024937,75.4,60_to_120,2026,2026-03,19,527.63,2810000,1302841102,2018-05-23 17:03:19+00:00
QHoEEo8Cqwo,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Draw Your Weapons, Episode 1 | Kobolds and Congratulations",2026-03-13 02:00:06+00:00,3817,36408,1280,170,False,0.0398264117776312,63.6,60_to_120,2026,2026-03,24,1517.0,2810000,1302841102,2018-05-23 17:03:19+00:00
gdMGqRlFLX4,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Broken Roads | Critical Role Abridged | Campaign 3, Episode 92",2026-03-10 15:01:10+00:00,4565,9946,275,17,False,0.0293585360949125,76.1,60_to_120,2026,2026-03,26,382.54,2810000,1302841102,2018-05-23 17:03:19+00:00
